iter	Passed	Remaining
238	658	719
239	660	715
240	663	712
241	665	709
242	667	706
243	670	703
244	672	699
245	674	696
246	676	693
247	679	690
248	681	686
249	683	683
250	685	680
251	688	677
252	690	674
253	692	670
254	694	667
255	697	664
256	699	661
257	701	658
258	704	655
259	706	652
260	708	649
261	711	645
262	713	642
263	715	639
264	717	636
265	720	633
266	722	630
267	724	627
268	727	624
269	729	621
270	731	618
271	734	615
272	736	612
273	738	609
274	740	606
275	743	603
276	745	600
277	747	597
278	749	594
279	752	591
280	754	588
281	756	585
282	759	582
283	761	579
284	763	576
285	766	573
286	768	570
287	770	567
288	772	564
289	775	561
290	777	558
291	779	555
292	781	552
293	784	549
294	786	546
295	788	543
296	791	540
297	793	537
298	795	534
299	798	532
300	800	529
301	802	526
302	805	523
303	807	520
304	809	517
305	811	514
306	814	511
307	816	508
308	818	505
309	820	503
310	823	500
311	825	497
312	827	494
313	830	491
314	832	488
315	834	486
316	837	483
317	839	480
318	841	477
319	843	474
320	846	471
321	848	469
322	850	466
323	853	463
324	855	460
325	857	457
326	859	454
327	862	452
328	864	449
329	866	446
330	869	443
331	871	440
332	873	438
333	876	435
334	878	432
335	880	429
336	882	426
337	884	424
338	887	421
339	889	418
340	891	415
341	894	413
342	896	410
343	898	407
344	900	404
345	903	402
346	905	399
347	907	396
348	910	393
349	912	391
350	914	388
351	917	385
352	919	382
353	921	380
354	923	377
355	926	374
356	928	371
357	930	369
358	932	366
359	935	363
360	937	360
361	939	358
362	941	355
363	944	352
364	946	349
365	948	347
366	950	344
367	952	341
368	955	339
369	957	336
370	959	333
371	962	331
372	964	328
373	966	325
374	969	323
375	971	320
376	973	317
377	975	314
378	977	312
379	980	309
380	982	306
381	985	304
382	987	301
383	989	298
384	992	296
385	994	293
386	996	290
387	998	288
388	1001	285
389	1003	283
390	1005	280
391	1008	277
392	1010	275
393	1012	272
394	1014	269
395	1017	267
396	1019	264
397	1021	261
398	1024	259
399	1026	256
400	1028	253
401	1030	251
402	1033	248
403	1035	246
404	1037	243
405	1039	240
406	1042	238
407	1044	235
408	1046	232
409	1048	230
410	1051	227
411	1053	225
412	1055	222
413	1058	219
414	1060	217
415	1062	214
416	1065	212
417	1067	209
418	1069	206
419	1072	204
420	1074	201
421	1076	199
422	1079	196
423	1081	193
424	1083	191
425	1086	188
426	1088	186
427	1090	183
428	1093	180
429	1095	178
430	1097	175
431	1100	173
432	1102	170
433	1104	168
434	1107	165
435	1109	162
436	1111	160
437	1114	157
438	1116	155
439	1118	152
440	1121	149
441	1123	147
442	1125	144
443	1128	142
444	1130	139
445	1132	137
446	1135	134
447	1137	132
448	1139	129
449	1142	126
450	1144	124
451	1146	121
452	1149	119
453	1151	116
454	1153	114
455	1156	111
456	1158	109
457	1160	106
458	1163	103
459	1165	101
460	1167	98
461	1170	96
462	1172	93
463	1174	91
464	1176	88
465	1179	86
466	1181	83
467	1183	80
468	1186	78
469	1188	75
470	1190	73
471	1192	70
472	1195	68
473	1197	65
474	1199	63
475	1201	60
476	1204	58
477	1206	55
478	1208	52
479	1210	50
480	1213	47
481	1215	45
482	1217	42
483	1220	40
484	1222	37
485	1224	35
486	1227	32
487	1229	30
488	1231	27
489	1233	25
490	1236	22
491	1238	20
492	1240	17
493	1243	15
494	1245	12
495	1247	10
496	1250	7
497	1252	5
498	1254	2
499	1256	0
