iter	Logloss
342	0.2049267318
343	0.2048354264
344	0.2047245385
345	0.2046014521
346	0.2045565818
347	0.2044213852
348	0.2043017992
349	0.2042558629
350	0.2041932567
351	0.2040962468
352	0.2039957843
353	0.2038626034
354	0.2037687358
355	0.2037360429
356	0.2036529173
357	0.2035906117
358	0.2034991409
359	0.2034168022
360	0.2034055616
361	0.2033177801
362	0.2032023247
363	0.2030815228
364	0.2030373317
365	0.2029534467
366	0.2029377115
367	0.2028648448
368	0.2027301346
369	0.2026505629
370	0.2025663928
371	0.2024462101
372	0.2023046966
373	0.2022042199
374	0.2020811653
375	0.2016466562
376	0.2015403661
377	0.2014517749
378	0.2014064602
379	0.2013053443
380	0.2012149923
381	0.2011029886
382	0.2009863575
383	0.2009045672
384	0.2007948129
385	0.2007053462
386	0.200649528
387	0.200553457
388	0.2004617411
389	0.2004016316
390	0.2002978413
391	0.2002192316
392	0.2001121639
393	0.2000070584
394	0.1999125671
395	0.1998081336
396	0.1996911345
397	0.199574937
398	0.1995631491
399	0.1994712067
400	0.1993784311
401	0.199295008
402	0.1992033566
403	0.1991271962
404	0.1990630591
405	0.1989763732
406	0.1989002249
407	0.1988068185
408	0.1987139187
409	0.1984879685
410	0.1983907873
411	0.1982736493
412	0.1981563257
413	0.1980293785
414	0.1979578885
415	0.1978428911
416	0.1977449616
417	0.1976073972
418	0.1974828982
419	0.1973814634
420	0.1972476002
421	0.1971687153
422	0.1970839647
423	0.1970225813
424	0.1969092362
425	0.1968159165
426	0.1967169804
427	0.1964663692
428	0.1963703049
429	0.1962751869
430	0.196140282
431	0.1960212766
432	0.1959397357
433	0.195842586
434	0.1957219204
435	0.1956505129
436	0.195546189
437	0.1954349371
438	0.1952947398
439	0.1952112955
440	0.1951222948
441	0.1949892074
442	0.194886464
443	0.1947766055
444	0.1947089502
445	0.1946076378
446	0.1945291722
447	0.194444646
448	0.1943741255
449	0.1942783536
450	0.1941592212
451	0.1940190545
452	0.1939197102
453	0.1938471125
454	0.1937443743
455	0.1936683449
456	0.1935393432
457	0.1933468446
458	0.1932479383
459	0.1931579832
460	0.1930230869
461	0.1929241305
462	0.1928034759
463	0.1927806324
464	0.1926735663
465	0.1925918036
466	0.1925000602
467	0.1924165172
468	0.1922725902
469	0.1921962911
470	0.1920814252
471	0.1920751117
472	0.1919861224
473	0.1918813489
474	0.191792103
475	0.1917105519
476	0.1916181168
477	0.1915748527
478	0.1914492928
479	0.191418199
480	0.1913283946
481	0.191227981
482	0.1911248128
483	0.1910516088
484	0.190963287
485	0.1908919908
486	0.190805125
487	0.1907237021
488	0.1906307603
489	0.1905470016
490	0.190420135
491	0.19034212
492	0.1902766302
493	0.1902035944
494	0.1901244317
495	0.189998898
496	0.1899205385
497	0.1898342687
498	0.1897613728
499	0.1896457366
